首字母,词条,文献,
A,,,
,阿根廷,2023，沈和，外国国名中译史考，亚洲与世界（第6辑），149-168,
,癌,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,"2022，缪蓬.晚清民国癌症概念的翻译及流变[J].医学与哲学,2022,43(03):74-78.",
,爱人,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,案外,"2019，尾谷昌則，「案外」と「意外」の用法変遷と新しい副詞用法について，法政大学文学部紀要79，47-66,",
,安置,"2021，胡新祥.从“安置”一词看日语中和训对汉字词的再加工[J].汉字文化,2021(06)，30-31+54",
,,,
B,,,
,巴西,2023，沈和，国名译词“巴西”的确立，亚洲与世界（第5辑），44-63,
,八音盒,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,白内障,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,败血病,"1999，成建军.sepsis汉译名之我见[J].科技术语研究,1999(03):16-17.",
,半岛,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,半开,2018，伊藤真梨子，近代漢語「開化」「半開」「未開」小考，学習院大学大学院日本語日本文学14号，77-97,
,半殖民地,"2004，何新华,王小红.试析1842-1860年间清政府外交的性质——兼论“半殖民地”概念在中国近代外交史研究中的局限性[J].福建论坛(人文社会科学版),2004(01):78-82.",
,半殖民地半封建,"1996，陈金龙.“半殖民地半封建”概念形成过程考析[J].近代史研究,1996(04):227-231.",
,版权,"1989，吴汉东.“著作权”、“版权”用语探疑[J].现代法学,1989(06):33-35.",
,,"2001，叶新.“版权”、“著作权”两个用语的由来及演变[J].出版史料,2001(1):103-106.",
,,"2018，田红梅.近代中国“版权”“著作权”概念的历史演变[J].山西档案,2018(04):11-13.",
,,"2020，安平,李春晖.福泽谕吉与近代日本版权制度初创[J].渤海大学学报(哲学社会科学版),2020,42(06):76-81.",
,版图,"2006，毕奥南.历史语境中的王朝中国疆域概念辨析——以天下、四海、中国、疆域、版图为例[J].中国边疆史地研究,2006(02):9-16+146.1",
,,"2020，易锐.清前期“版图”概念考析[J].中国历史地理论丛,2020,35(01):62-71.",
,,"2023，吴哲,丁海斌.中国历史上“版图”一词源流考正[J].档案管理,2023(03):37-42+47.",
,保险,"2000，黄兴涛.谈“保险”——近代中国新名词源流漫考[J].文史知识,2000(04):97-105.",
