Lemma,Sense,Word Class,Year,Quotation,Source,Note
八分音符,/,/,1920,/,/,from Japanese: 1883 (NDL)
八重唱,/,/,1930,/,/,from Japanese: 1906 (NDL)
八重奏,/,/,1930,/,/,from Japanese: 1918 (NDL)
八音盒,/,/,1873,/,/,from Japanese: a1868 (Sugimoto)
巴士,/,noun,1931,巴士與電車在本港同走一線,『中和日報』2月28日「電車公司年會情形」,
罷工(2),/,verb,1819,"罷 … 工 … in the ordinary sense, to strike work for a rise of wages, as is often done by the Canton weavers","Morrison, _A Dictionary of the Chinese Language_, ii/i, s.v. 罷",
罷免,/,verb,T'ang,/,/,"What changes is the political process (monarchy > dictatorship > democracy), not the semantics"
罷免權,/,/,1929,/,/,from Japanese: c1886 (NDL)
霸權,/,/,1896,/,/,from Japanese: 1870 (NDL)
白癡(1),unintelligent,adjective,c1200 (c282),不慧蓋丗所謂白癡,杜預 in『春秋正義·卷第十九成公』64 (7283),
,/,/,1909,觀此而猶不覺悟者。必白痴之人也。,『神州日報』3月23日「美洲通信」,
白癡(2),idiot,noun,1904,汝之家產不久將復歸於白痴之手。汝尚不悟耶。,冷血『偵探談二』90,also in Japanese 白痴: 1886 (NDL)
,(as term of abuse),/,1917,(白痴投稿),『日知報』4月12日「白牡丹之打櫻桃」,
,(with -式),/,1923,那些白痴式的忠臣以爲敷衍學生，總得㩀學生爲己有。,『民國日報』11月21日「教育部老早該撤廢」,
白堊紀,/,noun,1902,白堊紀 此紀因英德法三國、多產白堊、故以此命名,『地質學簡易教科書·歷史篇』4,from Japanese: 1892 (NDL)
白粉(2),/,noun,1857,此時草木暢茂、成煤層、其上為新紅沙石、黃灰石、石膏、石鹽、蛋粉石、白粉、火石,"W. Muirhead in『六合叢談』1/2, 2",
白鴿,/,noun,Chin,,,
白金,/,noun,1848,"Platina, 白金","Medhurst, _English and Chinese Dictionary_, s.v. Platina",
白鯨,/,/,1931,/,/,from Japanese: 1877 (NDL)
白開水,/,noun,c1813 (a1811),右二味⋯每服一二錢。白開水送下。,吳瑭『溫病條辨·卷三下焦篇』55,
白蘭地,/,noun,1872,Brandy. 白蘭地酒,"Doolittle『英華萃林韻府』ii, 300",
白内障,/,noun,1906,白內障(白翳)者。因于水晶體之溷濁。,『中學生理衛生教科書』100,from Japanese: 1867 (NDL); 白色內障 attested in Chinese by 1644
白兵戰,/,/,1933,/,/,from Japanese: 1894 (Yomidasu)
白熱(1),/,adjective,1867,"white heat, 白熱",Lobscheid『英華字典』s.v. Heat,
白熱化,/,/,1934,/,/,from Japanese: 1902 (NDL)
白珊瑚,/,/,1884,/,/,from Japanese: 1872 (Nikkoku)
白鯊,/,/,1891,/,/,from Japanese: 1881 (Nikkoku)
白石英,/,/,1893,/,/,from Japanese: 1881 (NDL)
白葡萄酒,/,NP,a1644 (a1236),"葡󹼜新􂅥泛鵞􂠥<span class=""warichu"">一種白葡󹼜􂅥色如金波</span>",『湛然居士文集·卷六·戲作二首』38 (003540),
,/,/,1731,雍正四年五月復遣使進貢⋯十二瓶白葡萄酒十二瓶紅葡萄酒,『廣東通志·卷五十八』14 (地330/33),
白色恐怖,/,/,1928,/,/,from Japanese: 1923 (NDL)
白血病,/,/,1907,/,/,from Japanese: 1875 (NDL)
白夜,/,/,1954,/,/,from Japanese: 1913 (Nikkoku)
白雲岩,/,/,1954,/,/,from Japanese: 1891 (NDL)
白質,/,/,1880,/,/,from Japanese: 1870 (NDL)
百分率,/,/,1902,/,/,from Japanese: 1875 (NDL)
百合花,/,noun,a1487 (a863),元和末海陵夏侯乙庭前生百合花大於常數倍異之,段成式『酉陽雜俎·卷六·器奇』3 (03915),
百合科,/,/,1903,/,/,from Japanese: 1884 (Nikkoku)
百日咳,/,/,1902,/,/,from Japanese: 1797 (Nikkoku)
敗訴,/,/,1907,/,/,from Japanese: a1889 (NDL)
敗血症,/,/,1909,/,/,from Japanese: 1876 (NDL)
-擺(1),/,nominal bound root,1868,"of o'clock, 擺",Lobscheid『英華字典』s.v. Pendulum,
拜金主義,/,noun,1907,實不外拜金主義也,『申報』4月8日「不允唐侍郞辭職辦路」,from Japanese: 1888 (NDL)
斑馬,/,noun,1868,Zebra 斑馬,鄺其照『字典集成』s.v. Zebra,
扳手(2),/,noun,1893,其彈子均由後膛旁孔納入，膛下設木把手，用右手把住扳手 …,鄭觀應『盛世危言‧火器』,
班長(1),/,noun,1902,續錄京師大學堂仕學院師範館學生班長副班長職務條規七條,『大公報』12月18日「時事要聞」,
班長(2),/,noun,1929,/,/,from Japanese: 1869 (NDL)
版畫,/,noun,1908,"An impression from an engraved plate, block of wood, or other material, 刻版印刷物, 版畫, 印畫",顏惠慶『英華大辭典』s.v. Engraving,from Japanese: 1879 (Yomidasu)
版權,/,noun,1895 (1887),/,黃遵憲『日本國志·食貨志二』,from Japanese: 1866 (Fukuzawa)
版式,/,noun,1932,/,/,from Japanese: 1813 (Nikkoku)
板書(1),/,/,1908,/,/,from Japanese: 1889 (NDL)
半島,/,noun,1602,半島,『坤輿萬國全圖·南亞󸽘利加』,"Note that this doesn't translate _El gran rio de Parana_, which is 伯剌那大江."
半導体,/,noun,1931,/,/,from Japanese: c1877 (NDL)
半島戰爭,/,proper name,1903,/,/,from Japanese: 1873 (NDL)
半封建,/,adjective,1936,/,/,from Japanese: 1889 (NDL)
半旗,/,adverb,1876,「大日本國事 半旗弔慰」,"『萬國公報』396, 23",[stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=半旗)
伴生,/,/,1903,/,/,from Japanese: 1886 (NDL)
半數,/,/,1889,/,/,from Japanese: 1868 (NDL)
伴随,/,/,1930,/,/,from Japanese: 1886 (NDL)
伴星,/,noun,1936,/,/,from Japanese: 1885 (NDL)
半殖民地,/,noun,1920,此派之意在使土耳其成一英國之半󺀶民地,『晨報』5月2日「土耳其之將來」,
半自動,/,/,1936,/,/,from Japanese: 1893 (NDL)
伴奏,/,noun,1928,/,/,from Japanese: 1887 (NDL)
-幫,/,nominal bound root,1872,"Party _or company,_ 羣黨 … 朋黨 … 班 … 幫",Doolittle『英華萃林韻府』s.v. Party,
幫//忙,/,ionised verb,a1760,我来家了太〻也在這里請他来󳷅個𢗅𫤗,『𮌖硯齋重評石頭記·第四十六囬』1067 (庚辰),
綁票,/,verb,1899,名爲綁票又名請財神,『申報』9月15日,
棒球,/,noun,1908,足球棒球諸游戲定期明日舉行,『申報』11月1日「厦門歡迎美艦續誌」,
保安,/,/,1902,/,/,from Japanese: 1873 (NDL)
保安林,/,/,1904,/,/,from Japanese: 1882 (NDL)
包圍,/,noun,1907,/,/,from Japanese: 1879 (NDL)
包物,/,noun,1907,/,/,from Japanese: 1871 (NDL)
胞子,/,noun,1903,/,/,from Japanese: 1872 (NDL)
保持,/,/,1889,/,/,from Japanese: 1881 (Nikkoku)
寶島,/,noun,1954,/,/,from Japanese: 1875 (NDL)
保管,/,/,1899,/,/,from Japanese: 1870 (NDL)
保管費,/,/,1905,/,/,from Japanese: 1899 (NDL)
飽和(1),/,noun,1905,/,/,from Japanese: a1847 (Nikkoku)
飽和(2),/,noun,1959,/,/,from Japanese: 1905 (Nikkoku)
飽和點,/,noun,1950,/,/,from Japanese: 1875 (NDL)
寶庫,/,noun,1916,/,/,from Japanese 宝庫: 1808 (Koten)
保護國,/,/,1897,/,/,from Japanese: 1874 (NDL)
保護金,/,/,1899,/,/,from Japanese: 1881 (NDL)
保護貿易,/,/,1897,/,/,from Japanese: 1877 (NDL)
保護鳥,/,/,1908,/,/,from Japanese: 1892 (NDL)
保護色,/,/,1903,/,/,from Japanese: 1900 (NDL)
保健,/,/,1902,/,/,from Japanese: 1874 (NDL)
保健室,/,/,1965,/,/,from Japanese: 1921 (NDL)
保健所,/,/,1949,/,/,from Japanese: 1937 (NDL)
保險(2),/,noun,1862,啟者以上三大公司保險現歸本行辦理,『上海新報』45「洋船保險」,from Japanese: 1840 (Nikkoku)
保險公司,/,NP,1862,大美國鳥喲󱛛日同保險公司,『上海新報』45「洋船保險」,
保稅,/,/,1902,/,/,from Japanese: 1875 (Yomidasu)
保證書,/,noun,1895 (1887),又住在裁判所管內饒有貲產者亦可代納應充金額之保證書,黃遵憲『日本國志·刑法志二』,
保障,/,/,1906,/,/,from Japanese: 1881 (NDL)
暴風,/,noun,1822,"TEMPEST of wind, 暴風 … or reversed","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. TEMPEST",
報告(1),/,verb,1895 (1887),/,/,from Japanese: 1872 (NDL)
報名,/,/,1905,/,/,from Japanese: 1883 (NDL)
報刊,/,noun,1921,北京從五四以來，出版界日見增高，尤以雜誌報刋爲最多。,『益世報』10月17日「需要的文學作品」,
報酬,/,/,1903,/,/,from Japanese: 1881 (NDL)
報復,/,/,1903,/,/,from Japanese: 1882 (NDL)
暴力,/,noun,1902,決非以暴力為尚而以自由為尚。人人以自由為尚此平等所由出也。,梁啟超輯譯『近世歐洲四大家政治學說』13,
暴行,/,/,1902,/,/,from Japanese: 1873 (NDL)
報社,/,/,1899,/,/,from Japanese: 1881 (Yomidasu)
報知,/,/,1890,/,/,from Japanese: 1872 (Yomidasu)
暴雨,/,noun,1857,有燥土而時有暴雨、成大水不能潤土者,"W. Muirhead in『六合叢談』1/13, 10",
報紙,/,noun,1873,倘荷附刊報紙未始非推己及人同登彼岸之大旨也,『申報』1月4日「洋烟害」,from 新報紙: 1871
爆發,/,/,1900,/,/,from Japanese: 1874 (NDL)
