Lemma,Sense,Word Class,Year,Quotation,Source,Note
發動,/,verb,1872,電機發動卽將其人拋起躍至丈餘,『申報』6月29日「電氣抛人」,
發酵,/,verb,a1333,𤼲酵前一日將麯搗碎⋯火不可太猛󶴛焙過麯力酒不能𤼲,『事林廣記·别集卷八酒麴類·酒麯秘方』74 (別060-0001),c1235 edn only had 發醅爲酵
發刊辭,/,noun,1902,「大陸發刊辭」,"『大陸報』1, 1",
發售,/,verb,a1792 (a1086),農翁之善蓄稻也層藏累納有淹二十年不發售者,吕南公『灌園集·與楊次公書』(文淵閣),
發條,/,noun,c1809,凡鐘表未及走畢、或停擺經年、則發條逼緊既久、放開則軟而無力,『高厚𫎇求·三集·自鳴鐘表圖法』13+ (305-0229),
發行,/,verb,c1621,青箱舘發行,『新傳理性元雅』[1] 0004 (832-187),
法老,/,noun,a1707,蓋經語法老我特興爾以顯著我德於爾,!Basset「福保祿宗徒與羅瑪輩書」244v (Lond. Sloane 3599),
法治,/,noun,1901,以法治國謂之法治,"任公「國家思想變遷異同論」in『清議報』95, 1",The difference with ancient 法治 is that the king/dictator is also subject to the law.
番茄,/,noun,?a1837,"畨茄湯<span class=""warichu"">度孖打叔</span>","[紅毛番話], 26v",
反動,(with -的),adjective,1904,󶴛怕阻塞風氣 激出國民一種反動的力量 痛恨維新,『大公報』2月21日「恭賀新年」,
反應(1),/,noun,1902,呈酸性之反應,『理化教科書』17,
反應(2),/,noun,1902,吾入之意識、不外対於內部之剌戟之反應。,『新民叢報』「訳述三·人格論」,
方言,dialect,noun,1902,且同在中國。亦各處自有方言。彼此不同。况彼國界既殊。自宜有此。,『新民叢報』4「『和文奇字解』」104,cf. [#22](https://github.com/t18d/HuangSupplement/issues/22)
,/,/,1906,「統一方言說畧」,"沈敦和 in『寰球中國學生報』1/1, 26",
方言學,dialectology,noun,1920,(表) 訓詁 {縱方面、—古訓學 橫方面、—現代方言學,沈兼士 in『時事新報』8月31日第七版,
飛機,/,noun,1893,彼云現有一物料堅于鐵輕于木⋯又有一物其力較煤油內之油尤大若用兩物作爲飛機每五十磅出一匹馬力不難,『萬國公報』48「新作飛機」23+,
-費,(in two-morpheme words),nominal bound root,1853,q.v. 船費,/,
-費,(in three-morpheme words),nominal bound root,1886,q.v. 保險費,/,
肺結核,/,noun,1899,按肺結核華名癆病也。,『亞東時報』7「紀肺結核可懼之事」,
廢水,/,noun,1889,Waste tank 廢水箱,Fryer『汽機中西名目表』56,
分(6),/,noun,c1844 (c1819),吴市用洋錢以塊計毎󲱮分十󾉟󾉟分十分,"包世臣『管情三義·己卯𡻕朝松江即事』xxii, 6 (05593)",
分詞,/,noun,1904 (1903),與 “Be” 合作Progressive時所附有ing之形曰現在分詞 (Present Pär'ti çi ple),"『正則英文教科書』ii, 85+",
分配(2),/,verb,1901,此貨幣者.常時旣便於分配.臨時亦便於運搬.,錢恂『財政四綱·貨幣』4+,
分析,/,noun,1899,"q.v. 定量分析, 定性分析",/,
分析,analyse,verb,1884,然律文雖簡下字極有權衡逐條分析皆以⋯,『申報』2月29日「論捉賭」,as one verb instead of two
封建(1),/,noun,1899,/,/,q.v. 封建時代
封建(3),(with -的),adjective,1908,同時又打破封建的制度。成統一國家的事業。,『神州日報』4月16日「論關於商業之設󰤿」,
風險,/,noun,1883,今因去年折耗甚巨外面欠項風險故於今正面同各拚股揭算,『申報』2月22日「撇開是非」,
敷衍了事,/,idiom,1742,豈可心之不在􀊼衍了事倖其無過,『培遠堂偶存稿·文檄卷十三·飭屬留心文檄檄』34+,The sequence 敷衍(2) > 敷衍了事 > 敷衍(3) is posited.
服務,(in non-military context),verb,1903,師範學校者⋯其卒業生之服務年限。凡十年。,『萬國教育志·第三編·第三章』139–40,from Japanese: 1894 (CHJ)
福音(1),/,noun,1635,"天主󲙏生後。宗徒與並時聖人紀錄者。中云萬日畧<span class=""warichu"">譯言好報福音</span>經。",Aleni『天主󲙏生言行紀畧·萬日畧經說』1 (Chinois 6709),
復活(1),/,verb,c1605,我信󰿩身之復活。,『天主教要』6 (R.G.Or. III. 221.5),
復刻本,/,noun,c1807 (a1799),近秦太史恩復刻本題爲梁陶宏景注,孫志祖『讀書脞錄·卷四·鬼谷子注』2 (01932),
,/,/,1809,閩中覆刻本閒有譌舛,陳春「湖海樓叢書『學林』跋」,
複利,/,noun,1904,用對數以求複利及年金其法較簡是爲對數之應用,『最新代數學敎科書·第十四編』166+,
