Lemma,Sense,Word Class,Year,Quotation,Source,Note
咖喱,/,noun,1874,整啲咖喱魚,Dennys『初学階』,
改良,/,verb,1897,或欲改良社􀑁.或寓意於政法之變革.,『時務報』xliii「北京外交情形」20,
改造,(metaphorically),verb,1902,夫改造人心四圍之力莫大,『新民叢報』22「軍國民之敎育」47,obsolete collocation
,/,/,1903,而欲改造社會必先自改造我躬始,『新民叢報』26「新英國巨人克林威爾󶩐」47,
干貝,/,/,/,/,/,likely a native word; see [#19](https://github.com/t18d/HuangSupplement/issues/19#issuecomment-2606537981)
功率,/,noun,1889,Duty of engine 汽機功率,Fryer『汽機中西名目表』17,
構想,/,verb,c1616 (c1596),此臣早夜之所拮据夙昔之所搆想者也,馮夢禎『快雪堂集·卷二十五·隆儒優士疏』(NC5428/3243),
古典學,/,noun,1903,氏之教育說。反對從來所行之古典學。,『泰西學案·\<L>oc\<k>e學案』132,
古典學家,/,noun,1924 (1923),古典學家 … Francis Meres,唐敬杲『新文化辭書』918,"'For a number of years Francis Meres, the glorifier of Shakespeare, has been puffed as a classical scholar.' (Allen)"
,/,/,1926,荷人格老秀西，係神學家而兼古典學家，史學家，政治學家，法學家,劉炳榮『西洋文化史綱·第三篇』37,
古典語文學,/,NP,1938,這時期以其求歷史知識的熱心，及方法上與古典語文學的交互影響，使德國史學煥然一新。,『五十年來的德國學術』452,
古文運動,/,noun,1927,我族之古文運動，非狹義之好古也。,『藝術界週刊』第十五期「雜記 (十四)」,
官方,/,noun,1894,去冬香港私鑄案發英官方盡法以懲,『申報』5月17日「廣鑄銀錢說」,Han-ta's 官方(3)
果汁,/,noun,1887,Colocynth pulp 𠹭囉噺果汁,Fryer『西藥大成藥品中西名目表』17,
