Lemma,Sense,Word Class,Year,Quotation,Source,Note
海拔,/,noun,1901,此次爆發噴煙高出海拔一萬二千米,『清議報』八十六冊「支那現勢論」,
海洋性氣候,/,NP,1902,歐羅巴⋯大抵有海洋性氣候,作新譯書局『世界地理』240,
焊錫,/,noun,1889,Solder 銲錫,Fryer『汽機中西名目表』47,
合群(1),(with 不-),adjective,1902,不合羣是中國頭一個大󶁤處,『大公報』11月20日「附件」,asserting new norm
,/,/,1920,一講自由戀愛。男女個個便放縱得不得了。這是不會有的⋯一個人不能不合羣。,『時事新報』1月20日「通訉」,norm established
,/,/,1925,班上是何等的看重他而瞧不起那位考第一而不愛說話不合羣的李稚生！,『京報』6月2日「記曹仲華」,policing the norm
很,/,adverb,a1321,如今地廣民衆事務哏多,『元典章·朝綱一』1 (014275–314),
,/,/,a1388,那幾个守户閑官老秀才它毎都哏利害,『老生兒』1 (12336),
很是,(+VP),VP,c1890,助我一臂之力就狠是盡心了,『小五義·卷十·五十二回』6 (D8690500),
,(+adjective),/,1903,我們同他初次見面。看他的人。很是明白。怎麼他倒不替我們出力。,『繡像小說』第五號「文明小史」26,
花邊,/,noun,1866,"an embroidered border, 花邊",Lobscheid『英華字典』s.v. Border,
花梗,/,noun,1887,Myrospermum pedicellatum 小花梗米羅司卑麻,Fryer『西藥大成藥品中西名目表』41,
華北,/,noun,1891,『華北月報』,"_Hua pei yueh pao. North China Church Times._, 1/1",
華南,South China,noun,1899,又言靑島爲作客華南之諸西人避暑處,『申報』7月2日「膠灣政策」,"previously, 'to the south of China'"
化石,/,noun,1902,今此等前世界之生物、稱爲化石、保存巖石中,『地質學簡易教科書·〔一〕地相篇』5,
化學,/,noun,1855,戴君特出奇器盛水於桮交相注曷頓復變色名曰化學,王韜『蘅𠌶館日記』咸豐五年[二月]十有四日丁未,
环礁,/,noun,1903,自其形狀言之。則曰⋯環礁 (Atoll),『中學地文教科書』96,
