Lemma,Sense,Word Class,Year,Quotation,Source,Note
機會成本,/,NP,1922,"維搜此說,實機會成本說(Opportunity cost)之起原也.",『科學』7/12「奧國學派」1245,
積極(1),positive,adjective,1903,/,『新爾雅』52,postdating
積極(3),proactive,/,1899,/,『清議報』,q.v. (1)
,/,/,1902,/,/,q.v. (1)
機器,machine,noun,a1566 (a1494),嚴州山中灌田之法有水輪⋯不勞人力而水利自足⋯機噐之巧無踰此矣,『菽園雜記·卷十二』1 (110749),
基因(2),/,noun,1930,"故約翰生氏所定之基因,並不視爲物質,亦不指爲狀態⋯此等因基⋯與其他之基因作種種之配合,而移行於子孫.",許心芸譯『人生植物學』251,translator torn between the established 因基 & the phonetic spelling 基因 for ゲン
,/,/,1931,遺傳的幾條原則⋯約翰生與靡爾更的「基因」遺傳說,『東方雜誌』28/1「文化的生物學觀」101,Note the quotation marks.
及物動詞,/,NP,1914,凡及物動詞皆有受動,『時事新報』10月5日「世界語會消息：本會函授講義節要 (二十)」,
繼承,(in constitutional law),verb,1902,/,/,
,(in gloss),/,1903,/,/,
,(in private law),/,1912,日本謂繼承曰相續法⋯查中國於嗣續宗祧等項多通用繼承字故此編改曰繼承,"『中華民國暫行民律草案』vii, 1",
繼承法,/,noun,1912,日本謂繼承曰相續法⋯查中國於嗣續宗祧等項多通用繼承字故⋯關於繼承之法曰繼承法,"『中華民國暫行民律草案』vii, 1",
計劃經濟,/,NP,1929,卽或資本主義的合理󵔻是在如理論上所表示的無競爭的計劃經濟中進行的⋯,『河北民國日報』4月16日「資本主義的合理󵔻之危機」,translation
紀念(1),/,noun,1344 (a730),遂󵛎奴曲琴取相思枕留与十娘以為󺘣𫝹,張鷟『遊仙窟』34v,Han-ta
,/,/,1866,有二等艙三男一女、向明乞物以作󺘣念,張德明『航海述奇·卷四』33 (地980/917),Note the same radical.
紀念(2),/,verb,1901,祝典烏乎起所以紀念舊事業而獎厲新事業也,『清議報』c「本館第一百册祝辭並論報館之責任及本館之經歷」1,
技術,industrial technology,noun,1884,/,/,
記者,/,noun,1893,翌日東京各日報社記者又宴於芝山紅葉館,『申報』7月28日「公讌志盛」,
,/,/,1895 (1887),/,『日本國志』,
價値(2),value,noun,1822,"Value, that which a thing is worth, 値 … 價値","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. Value",cf. s.v. Price
,/,/,1837,毎年所出之土産、價値約共計銀九萬三千五百七十四萬員。,『東西洋考每月統記傳』丁酉十一月「法蘭西國志畧」147+,What distinguishes this from Han-ta's 價値(1) is its being an estimate & not a price you can trade at.
價値(3),worth,/,1902,/,/,
減速,/,verb,1889,Ease 減速,Fryer『汽機中西名目表』17,
間接稅,/,NP,1901,間接稅者.則以賣主而轉嫁於買主.,錢恂『財政四綱·租稅』2+,
交通工具,/,NP,1920,告訴他們內亂已經把我們的出產經濟狀况及交通工具破滅了,『大公報』11月3日「遠東統一宣言之草案」,
,/,/,1922,今以汽車爲公衆之交通工具。則不可不硏究汽車是否爲最經濟的交通的方法。,『申報』5月6日「『公共汽車』之研究」,
角(2),/,noun,c1844 (c1819),吴市用洋錢以塊計毎󲱮分十󾉟󾉟分十分,"包世臣『管情三義·己卯𡻕朝松江即事』xxii, 6 (05593)",
校訂,/,verb,1342 (c1329),因屬博士程熟等就加校訂鋟版與諸史並行之,趙丗延「南唐書序」in『國朝文類·卷三十三』16 (SBL249),
教皇,/,noun,?1619 (a1600),凡天下人⋯信認尊敬耶穌基利斯多所畱敎皇以代主敎者。皆成一􁊒都會。,Da Rocha『天主聖教啓蒙』23,
教會,/,noun,1605,"我信有聖而公。󺩫格勒西亞。<span class=""warichu"">譯言教㑹也。凢天主教㑹皆􁊒稱之</span>諸聖相通功。",[Ricci]『聖經約錄』99 (Jap. Sin. I 126),
教練,(non-military),noun,1919,㊀公布員陶益爾君㊁敎練李侃君,『申報』5月5日「遠東運動員出發攝影」,postdating
教練員,(non-military),noun,1906,于會員中選舉諳練各種體操者爲敎練員,『申報』12月30日「城中商業󹲴防體操會簡章」,
教育,/,verbal noun,1632,󼉅㓜教育又齊家之一支也,韓霖「童幼教育序」1 (Chinois 3389),
教育者,/,noun,1866,"Educator, 教養者 … 教育者",Lobscheid『英華字典』s.v. Educator,
接辦,/,verb,c1833,而其管理印度等處地方之事、仍容公司接辦,『東西洋考每月統記傳』癸巳十一月「英國之東地公司」,
階級鬥爭,/,idiom,1906,階級鬬爭之幕既開⋯然富紳者有政府警察軍隊學人僧侶等爲之援助者也。,『民報』5「萬國社會黨大會略史」80,
接種,/,verb,1898,傳至日本互相接種其効昭然,『申報』7月11日「豫防痘症篇」,
結果(1),(with inanimate subject),noun,1900,論及中國時𫝑提督謂中國此次戰爭將來結果必如美國初議,『申報』7月27日「美員淸議」,
