Lemma,Sense,Word Class,Year,Quotation,Source,Note
卡車,/,noun,1923,曾宣言阻止外来卡車入路線之事、致有引起一般人之誤解、以卡車作乗客之車輛⋯此項卡車係専指運貨笨重之車而言,『申報』7月14日「滬太公司近況」,
刊發,run an item in newspaper,verb,1917,孫先生之電。發於八日⋯連夜付印。若是則必刊發於九日之報紙矣。,『民國日報』3月15日「詰兩院議長 ◀畢竟擱󰤿公電否」,postdating; this is the only current sense
,/,/,1918,而自稱接近現政府之新聞編譯社。亦於前日刊發新聞。直稱一方下令進兵。而一方⋯,『民國日報』2月22日「段派報藉口和議痛攻王士珍」,
康熙字典,/,proper name,1721,康熙五十八年郡守吳永芳頒康熙字典一部,『嘉興府志·卷之五學校』8 (地240.83/132),
考古,practise archaeology,verb,1902,瑞國得了這個古迹 考古的人 個個爭先再尋,『大公報』8月2日「新石代」,
考古學,/,noun,1896,"Археологія, Као-гу-сі*о* 考古學",Попов『俄漢合璧増補字彙』,from Japanese 考古学: 1877/79 (Tanomura 2025)
考古學家,/,noun,1907,義國夙以文明之淵藪見稱而入其境問十二銅標所在國人概答不知問之考古學家亦答不知,『順天時報』11月9日「客談歐美各國情形」,
考慮,/,verb,1902,此事雖似末􁄬.當學堂施設之初.最要考慮者也.,『東遊叢錄·函札筆談』117,letter by Japanese published in a Chinese book
,/,/,1905,常挈兩物而加攷慮而此攷慮之中即有以發見彼此短長之所在,『新民叢報』63「辨論與受用」26,
科學,/,adjective,1914,聚百十不科學無條理之人日發生不痛不癢不達時勢之議論,『時事新報』12月4日「清朝復辟案之反響」,[stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=科學)
可可(2),/,noun,a1844,"其國出紅木、加非、可可<span class=""warichu"">兩樣係飲物之料，比茶水更有滋味</span>",!『萬國地理全集·卷三十六』350,
可能,/,auxiliary verb,1792,若於壩根接做石磯是否可能生根鞏固以資挑護之處,『南河成案續編·卷之一』15 (地724/84-2),是否 marks the formation of a true auxiliary verb.
,/,/,1916,參衆兩院是否可能於八月一日正式開會,『神州日報』7月8日「中央今日之三大問題」,
可能性(1),potential,mass noun,1903,一切事物之未成時即可斷決當成何物何以故以有可能性故⋯運動之極盡可能性無復有餘是曰終極原因,『泰西學案』15,
可能性(2),possibility,count noun,1919,許多可能性 (Possibilitise) 許多濳伏力. (Potentialities) 不知不覺發瀉出來,"傅斯年「人生問題發端」in『新潮』1/1, 8", Fu's typo
可喜的,/,adjective,1904,所以驚奇可喜的事 人乍聽了 無不拍案呌絶,『京話日報』8月17日「達威德爾偵探記 第一節」,first occurrence as -的
,/,/,1905,却是有一件可喜的好事,『京話日報』2月23日「通州苦况」,first independent use
刻本,/,noun,Sung,近歲均州刻本輒改為仇香,陸遊『老學庵筆記』卷四,
,/,/,2001,「再说黄正甫刊本{乃}《三国志传》<乃>今见《三国演义》最早刻本」,"『明清小說研究』1, 125",刻本 & 刋本 are stylistic variants
空氣(1),/,noun,1854,于是斯當波里火山、高二百十六丈、其噴出之力、較空氣重一百七十六倍,『地理全志下編·卷二』12+,
塊,/,noun,c1844 (c1819),吴市用洋錢以塊計毎󲱮分十󾉟󾉟分十分,"包世臣『管情三義·己卯𡻕朝松江即事』xxii, 6 (05593)",
會計學,/,noun,1906,就一部言。支一費必符鐵路會計學。斯爲不負股東。不負國家。,『新民叢報』92「所望於新任川督趙公」6,
困難(2),euphemism for poor,adjective,1903,夫人口旣稠密。故覺生活困難。在所不免。,作新社譯『支那人之氣質』153,
困難(3),/,noun,1687 (a1056),夫天下始定民方息肩于困難一人不能獨治政敎不能徧及,『周易口義·卷二』3 (A01881),
,/,/,c1205 (c1178),隂柔之人􀍻无明見一遇困難遂至􂕿󷴪失錯,『童溪易傳·卷二十一』10 (9582),
