Lemma,Sense,Word Class,Year,Quotation,Source,Note
浪漫主義,/,noun,1915,浪漫主義。Romanticism 當歐洲十八世紀末葉至十九世紀初年時。盛行於文藝上。,『東方雜誌』12/9「浪漫主義」5,
勞動,/,noun,1905,/,/,postdating; previously = labourer
勞動力,/,noun,1903,會社企業。乃合小資本爲大資本集小勞動力爲大勞動力者之總稱也。,『最新經濟學』118,
老師,school teacher,noun,1911,蒙小學堂的老師 就是古人所說的人師⋯至如󲭇等自由⋯不可施之於小學校,『京都日報』1月1日「再吿任敎育者」,
烙鐵,/,noun,1889,Soldering iron 嵌錫烙鐵,Fryer『汽機中西名目表』47,
禮拜(1),(+ the Christian god),verb,c1584 (1583),三當禮拜之日禁止工夫謁寺誦經禮拜天主,Ruggieri『祖傳天主十誡』(Jap. Sin. I-189),
禮拜(2),week,noun,1620,礼􀂉 semana i domingo,"_Arte de la lengua chio chiu_, 30r (Ms. 1027)",
禮拜-(3),/,nominal bound root,1620,礼􀂉一 lunes … 礼􀂉六 sabado,"_Arte de la lengua chio chiu_, 30r (Ms. 1027)",postdating
理校,/,verb,1934 (1931),所謂理校法也.遇無古本可據.或數本互異.而無所適從之時.則須用此法,陳垣『元典章校補釋例·第四十三校法四例』87,cf. Pasquali (1934) – Ch'en was reinventing the wheel
硫酸,/,noun,1883,Sulphuric acid 硫酸,Fryer『金石中西名目表』32,
龍脈,/,noun,c1267,昔有頭陁、從廣信󴰉龍􁕘來此,祝洙『新編方輿勝覽·卷十福建路』250 (786975–94),
漏斗,/,noun,1857,譬如水洩於漏斗,"A. Williamson in『六合叢談』1/3, 7",
