Lemma,Sense,Word Class,Year,Quotation,Source,Note
毛(1),/,noun,1834,􀭜狸皮 每張〩毛至〡元,Gützlaff『東西洋考每月統記傳』甲午年正月「省城洋商⋯市價」2,
冒險精神,/,noun,1905 (1903),至此而冒險精神。乃爲之一挫矣。,『空中飛艇』3,
美學,/,noun,1902,美學者.論事物之美之原理也.,『敎育叢書二集·哲學小辭典』1,postdating: first reference to a branch of academic philosophy outside a Japanese course catalogue or book title
迷信,/,verb,1897,誠󶴛剛暴無謀.奮激土人迷信宗教之心.,『時務報』xix「論歐洲現󴜴」23,
麵包,/,noun,1583,,_Dicionário Português-Chinês_ (Jap. Sin. I-198),
麵粉,/,noun,1583,,_Dicionário Português-Chinês_ (Jap. Sin. I-198),
描述,describe,verb,1909,其惶急尤難描述,『申報』8月2日「奇情小說 美人虹」+,not in 王雲五大辭典 & 國語辭典; very slowly took over the sense of 'describe' from [描寫(2)](https://t18d.github.io/HuangSupplement/obsolete/#:~:text=描寫(2))
,/,/,1958,現代語言學先分兩個大的方面 … 「描述的語言學」(descriptive linguistics) … 「歷史 (或比較的) 語言學」,董同龢「語言的研究」in『現代學術季刊』2/2,
描述語言學,/,NP,1958,個人覺得能代表近來美國描述語言學家的長處的倒是 Charles Fries 的兩本實用性的書,董同龢「語言的研究」in『現代學術季刊』2/2,the accurate translation of 'descriptive linguistics'
描寫(1),depict,verb,Ming,/,/,the word's only current sense
描寫語言學,/,NP,1950,咱們現在應該嚴格使用描寫語言學的方法來分析現代中國語的結構,羅常培『語言與文化』103,fossilised use of the obsolete [描寫(2)](https://t18d.github.io/HuangSupplement/obsolete/#:~:text=描寫(2)) & no longer an accurate translation of 'descriptive linguistics'; cf. s.v. 描述語言學
民俗學,/,noun,1908,"folk-lore, 野史,民俗學.",『英華大辭典』s.v. Lore,
民主(2),/,verbal noun,1865 (1864),於是易其國法、而改作民主之國,Martin『萬國公法·卷一』20+ (04013),
民族,/,noun,1834,故申󾏞中外諸民族。悔罪伏奉耶穌救世者之教也。,Gützlaff『救世主耶穌基督行論之要畧傳·煞語』74,
摩擦(1),/,verb,1851,琥珀用燥羊毛.摩擦一邊.此摩擦處.便能拾芥.就是電氣發出.似磁石噏鐵一般.,Macgowan『博物通書·第一章』1,
魔鬼,/,noun,c1584,天主知這天人驕慢犯󱳋。並𫤰衆天人逐出天󺕓之下而為魔󶓭。,Ruggieri『新編西竺國天主實錄』16+ (Jap. Sin. I-189),
磨牙,/,noun,c1634,盤牙二十⋯西國謂磨牙。󵎺形如磨。,『泰西人身說㮣·卷上·󰣋部』3 (Chinois 5130),
牧師,/,noun,c1832,?,Morrison『古聖奉神天啟示道家訓』,
