Lemma,Sense,Word Class,Year,Quotation,Source,Note
耙梳,/,verb,1922,民國本屬多事、而法律方面、則尤爲不可耙梳,『民國日報』12月21日「張閣與衆院之因緣案」,typo for 爬梳
排外主義,/,noun,1902,舊日之排外主義,『壬寅新民叢報彙編』1053,
,/,/,1906,防止排外主義之傳播,『時報』12月26日,
砲灰,/,noun,1894,非砲灰卽刀頭之鬼耳,『申報』9月6日「論倭人窘况」,
,/,/,1934,殺人者在毁壞世界，救人者在修補它，而炮灰資格的諸公，卻總在恭維殺人者。,魯迅『且介亭雜文‧拿破侖與隋那』,
披露,/,verb,1889,本社著作無論社內社外⋯當逐期披露,『新社』第三期,
批判,/,verb,1902,故合印是編期我國民批判此二大問,『新廣東』100,
,/,/,1905,徒大聲疾呼慷慨悲憤以批判當局之失策者,『津報』11月7日「論戰後經營之第一著手」,
皮包,/,noun,1866,"a leather bag, 皮包",Lobscheid『英華字典』s.v. Bag,
貧農,(in anti-capitalist discourse),noun,1919,俄國尙有一•五〇〇•〇〇〇之富農•此等實亦資本家而貧農之敵也•,『時事新報』5月16日「俄國問題」,
貧血(1),(as free morph),noun,1905,如發見腺病.營養不良.貧血⋯與其他慢性疾患等。檢查之際。可記入之。,湖北學務處『管理法』209,Huang's 1907 quote has a bound morph
評論家,/,noun,1903,此評論家當然之天職,『國民日日報』9月20日「論辜鴻銘之無恥」,
破產(1),(as a legal term),verb,1902,商人停止清償.則裁判所.由其商人或債權者申請.决定宣告其商人破產.,『湖北商務報』125「日本破產律」1,postdating
破碎,/,verb,1844,"Shatter, 破碎",Williams『英華韵府歷階』s.v. Shatter,
普遍,(with -的),adjective,1903,蔑視自然哲學、及數學⋯謂無普遍的眞理。,『泰西學案·蘇格拉底學案』4,
普通,/,adjective,1901,/,/,postdating: first occurrence outside a proper name
