Lemma,Sense,Word Class,Year,Quotation,Source,Note
七色板,/,noun,1906 (1904),牛頓七色板,陳文哲『普通應用物理教科書·本書應用試驗器械定價表』10,
,/,/,1926,現在的小學生就能玩七色板⋯收羅許多著名學者的大著作的大報，自然是光怪陸離，但也是轉不得,"魯迅「雜論管閑事，做學問，灰色等」in『語絲』62, 3",
齊唱,/,verb,1844,"Chorus, join 齊唱",Williams『英華韵府歷階』s.v. Chorus,
奇蹟,(in secular contexts),noun,1913,世界奇蹟。隨時隨地。無不有之。名之曰七。未免太窄。,『民國二年世界年鑑·世界七大奇蹟表』200,This sense comes from the Christian 奇蹟 rather than the traditional Chinese 奇蹟.
騎士,/,noun,1903,田奴騎士及君主之階級,進化譯社『史學通論』105,
歧義,/,noun,1921 (1877),是以魏晉以還⋯獨於詩未聞歧義,孫詒讓『温州經籍志』卷二 s.v. 夏氏詩經漁樵野說,
啟蒙,Enlightenment,verbal noun,1902,利勝 Lessing … 德國之啓蒙哲學者,『新民叢報』22「萬國思想家年表」118,
啟蒙運動,/,noun,1907,彼等互發飛檄。述啓蒙運動之切要。,『民報』17「虛無黨小史」10,
起訴,/,verb,1895 (1887),/,黃遵憲『日本國志·刑法志一』,
企業,/,noun,1903,其他中小兩企業之可與大企業相競爭者尙多。,『最新經濟學』116+,previously only as verb; being modified by adjectives & quantifiers signals conversion to noun.
企業家,/,noun,1899,"往來中國.與中國企業家<span class=""warichu"">謀營商業者</span>及商人.相結托⋯",『湖北商務報』15「中日經濟關繫」11,original in _Osaka Asahi Shinbun_
起義(2),/,verb,1833,亦有人起義以應其隆奈者也。,"Gützlaff『東西洋考每月統記傳』癸巳年十二月, 79",
汽車(2),/,noun,1903,近有法人与英人及他国人合擬賭賽。汽車由法京巴黎斯至日斯巴尼亜京城馬得利脱。,『申報』5月27日「賽車肇事」,
氣管炎,/,noun,1887,氣管炎 Bronchitis,鄺其照『華英字典集成』603,
契據,/,noun,1872,(document) 契 … 契據,Doolittle『英華萃林韻府』s.v. Deed,
氣槍,/,noun,c1852 (a1841),"西洋奇𠾖述<span class=""warichu"">武進李兆洛</span>曰.氣鎗者爲銅球大如拳.上爲螺旋孔一.筒長二尺許錫爲之.",『海國圖志·卷九十四』8 (地900/875.5),
棄權,/,verb,1895 (1887),/,黃遵憲『日本國志·刑法志一』,
汽油,/,noun,1904,有汽油六百八十罐又煤三百噸以供俄軍之用,『大公報』1月28日「時事要聞」,
鉛筆,/,noun,1822,"Blacklead pencil, 鉛筆","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. BLACKLEAD",
牽引力,/,noun,1908,其牽引力甚大且較牛皮橡皮各帶更為耐久堅韌,『申報』2月23日「專製布質引擎帶」,
前部,/,noun,1902,鞏膜之前部曰角膜,教科書譯輯社『中學生理教科書』166,This is where Huang corrects _Han yü ta tz'u tien_: 前部 was always military before 1900s.
潛伏期(1),/,noun,1905,其初為病之潛伏期,湖北學務處『倫理學·課外餘談』34,
前景,/,noun,1867,Foreground 前地 … 前景,Lobscheid『英華字典』s.v. Foreground,
前述,/,adjective,1880,如前述江西某委員信役濫刑,『申報』4月27日「論惡役殃民」,also in Japanese: 1877 (Nikkoku); [stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=前述)
潛意識,/,noun,1918,此羣體之得生活。不外由於各個細胞能服從在潛意識而活動故也。,『大公報』10月25日「心靈研究之進境」,
鉗子,/,noun,1848,鉗子⋯小鉗子,"Medhurst, _English and Chinese Dictionary_, s.v. Pliers",
槍刺,/,noun,1903,「趕造槍刺」,『北洋官報』cxlviii,
槍彈,/,noun,a1682,詢知民望令鎗砲􂢜𤼵民望受数百槍󿴶從脇穿透􀀟如故,戴笠『行在陽秋·卷下』15r (10791),
槍械,/,noun,1600,疏火器鳥銃長短槍械法,『譚襄敏奏議·序』,
牆腳,/,noun,1844,"Foundation, 基址 … 墻腳",Williams『英華韵府歷階』s.v. Foundation,
