Lemma,Sense,Word Class,Year,Quotation,Source,Note
三角關係,/,NP,1921,遇有男女三人往來較密的，就認爲戀愛底三角關係。其實，或許一角也不成！,『民國日報』9月14日「男女社交問題底障礙」,
三角戀,(with -關係),nominal bound root,1923,可知此種事󴜴。純係三角戀關係。,『大公報』8月16日「記有島秋子自殺問題」,
,/,verbal noun,1925,你不必發議論了，你難道不知道同性戀愛本來是神秘的嗎？⋯她們可不就是三角戀的縮影，自然免不了衝突。,『大公報』1月16日「人間」,
三角戀愛,/,NP,1922,戀愛裏最容易發生苦痛的，三角戀愛便是一個著例,『婦女雜誌』8/2「戀愛的意義與價値」6,
三位一體(1),/,idiom,c1636,吾主既降生後。有天主三位一體之像,Dias『聖經直解·雜事目錄』8 (Jap. Sin. I-70),
山脈,/,noun,1858,山脈之方向,"W. Muirhead in『六合叢談』1/13, 9",
-上,(enclitic of respect),postposition,1901,天下事固有於理論上不可不行而事實上萬不可行者,『清議報』lxxxiii「過渡時代論」4,both with and without 於-
上帝,/,noun,a1590,惟天主上帝其事未觧明否,"Ricci, _Lettre de Sixte V au Maître de l'Empire des Ming_ (Chinois 1320)",
上述,/,adjective,1903,以上述之新兵爲自衛軍⋯宜協力迫俄國交還奉天之事,『俄事警聞』12月20日「清國之對俄政策」,from Japanese: 1895 (CHJ); [stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=上述)
少數民族,/,NP,1903,然皆以少數民族强鍵于多數之中固未聞以多數之民族而服從于少數之下者也,『浙江潮』5「民族主義論」30,
哨子,/,noun,1889,Steam whistle 汽哨子,Fryer『汽機中西名目表』49,
奢談,/,VP,1903,「奢談禁例」,『國民日日報』11月29日,still very much stylised
,/,/,1911,及海牙開會改約期限已過英人尙容我奢談廢約乎,『吉長日報』3月31日「鴉片交涉談」,in natural text
生態學,/,noun,1903,論其習性與其相交之關係者。曰生態學。,作新社『新編動物學』3,
聖誕,(in Christianity),verb,c1636,「吾主聖誕前第四主日」,Dias『聖經直解·卷之一』9 (Jap. Sin. I-70),
聖母,/,noun,a1588,中間聖母無交配 誕聖原前室女躬,"Ruggieri, _Chinese Poems_, 6 (Jap. Sin. II-159)",
失戀,/,verb,1904,此篇寫戀字甚盡力一邊寫失戀之善夫禮一邊寫得戀之阿羅,『新新小說』2「聖人歟盜賊歟」9,
石灰水,/,noun,1882,將膿泡一一挑破用石灰水洗淨,『申報』5月5日「火焚續述」,
食療,/,noun,1926,我國醫籍中。有部叫做食療的⋯在下照着這個法子⋯繼續研究了好多年。果然發明幾件新食療。,『申報』4月9日「新食療」,first use as common noun
食療法,/,noun,1471 (a1357),少以力學得􁏪疾有授以食療法𫝄乃󺋛󳭒,『圭齋文集·卷十』21 (07730),
石墨,/,noun,1883,"Plumbago, or Graphite 石墨",Fryer『金石中西名目表』26,
石蕊,/,noun,1885,Litmus 石蕋,Fryer『化學材料中西名目表』21,
視角,/,noun,c1632,若視物之兩端。則兩腰線𤼵來至瞳心。合成三角󴶩之形。凡角之末銳。必在瞳心。名爲視角。,Rho『崇禎曆書·月離曆指·月離三』3+ (Oxon. Sinica 897),
視線(1),/,noun,1792 (a1610),首圖目在甲視乙丙一球則如作甲乙丙三角形⋯乙甲丙甲二條視線為兩旁腰邉,『乾坤體義·卷中』5 (淵),
是時候,(verbal),idiom,a1618,我說是時候。這六姐還強說早哩。,『金瓶梅詞話·第三十回』7 (020272–91),
,(adjectival),/,1910,可惜你來的不是時候,『天津白話報』8月29日「閒評：有利則進 無利則退」,
,/,/,1936,並且給的很是時候。,梁實秋譯『李爾王』46+,
手動,/,adjective,1889,"Hand gear 手動器具, 或手動齒輪",Fryer『汽機中西名目表』26,
手續,/,noun,1901,行政訴訟之手續,"『譯書彙編』７, 54+",
水表,/,noun,1883,如是則該公司只須每日稽查水表,『申報』8月6日「自來水價宜變通說」,
所有者,/,noun,1903,猶未定議所有者只集股本十萬兩而已,『國民日日報』8月26日「天津經濟問題」+,
