Lemma,Sense,Word Class,Year,Quotation,Source,Note
她(1),/,pronoun,1919,這雖是由於她的心思􃉙密。言詞誠懇。而這『性』的作用也是其中很大的一個關繫。,『晨報』5月20日「北京學生界男女交際的先聲」,
她(2),/,/,1919,我⋯著了一篇關于『太極圖』的批評⋯不料居然來了一個旁皇迷路的靑年⋯給她下的考語,『新潮』2/1「康白󴜴啓事」22,
他校,/,verb,1934 (1931),他校法者.以他書校本書,陳垣『元典章校補釋例·第四十三校法四例』86,cf. 理校
糖尿病,/,noun,1906 (1905),又患糖尿病者。其尿中一〇〇分約含四分乃至一〇分之葡萄糖也。,杜亞泉『化學新敎科書·下編』33,
特別,(as free morph),adjective,1902,故其書不過爲通鑑之一附庸。不能使學者讀之有特別之益也。,『新民叢報』1「新史學」47+,
特殊,(in NP),adjective,1902,欲以淸國特殊之慣例凌駕國際上之法則,錢承鋕譯『外交通義』306+,
提神,/,verb,1837,雖鴉片惡毒、然其性能提神,Gützlaff et al.『東西洋考每月統記傳』丁酉年四月「奏爲鴉片」,
體操,/,noun,1887,至櫻馬塲體操塲閱看師範學校生徒演習兵法,『申報』1月14日「日報譯略」,
天皇,/,noun,a1136 (1060),日本古倭奴也⋯彦瀲子神武立更以天皇爲號徙治大和州,『新唐書·東夷列傳第一百四十五』15 (S035),
天使,/,noun,1815,初鄭文公有賤妾曰燕[姞]夢天使與己蘭 … who dreamt that heaven sent an angel …,Morrison『字典』632,_Tso chuan_ westernised
天主,/,noun,c1584 (1583),『祖傳天主十誡』,Ruggieri (Jap. Sin. I-189),
天主教,/,noun,a1588,君尊天主教 予學舉人文,"Ruggieri, _Chinese Poems_, 17.1 (Jap. Sin. II-159)",
通貨緊縮,/,idiom,1910,通貨緊縮之時。物價騰貴。物價騰貴。則生產困難。結果生產萎微。而購買力減少。,『經濟學概論·第二編』200+,original by Yamanōchi Masaaki (1905)
通貨膨脹,/,idiom,1903,兌􀄪紙幣。因其可以交􀄪金銀貨。一旦發行過盛。則通貨膨脹。物價騰貴。,『普通經濟學敎科書』87+,
同情(1),/,verb,1897,正義之力.則天下公論所由歸.而足以得其同󴜴也.,『時務報』xx「日本外交標準」28,
同情(2),/,verb,1848,"Sympathy, 同情⋯性󴜴和合⋯慈悲","Medhurst, _English and Chinese Dictionary_ ii, s.v. Sympathy",
投機(2),/,verb,1898,故乘人有投機之心.以起保險事業.俾勇於􁄬儉𫎓蓄.其利豈尠哉.,『農學報』xlii「農業保險論」2+,
,/,/,1902,如彼投機射利。俗所稱買空賣空者。其操術類於賭博。,『新民叢報』20「新民說十六」11,
退化(2),/,verb,1903 (1898),何謂衰世。大都本有政敎。逐漸傾頺。至於退化。,『國聞報彙編·論中國敎化之退』23,
拓撲學,/,noun,1946,但拓撲學的課大多缺如，殊有不能趕上時代之感。,『大公報』10月12日「最近十年來中國數學工作的方向」,
