Lemma,Sense,Word Class,Year,Quotation,Source,Note
外匯(1),/,noun,1922,昨爲星期日、海關暨中外各銀行洋行等均事休假、所有外匯市面、例無報吿,『時事新報』1月16日「標金價格似稍趨高」,
外徑,/,noun,1874,外徑三寸,『申報』11月28日「怪疾二則」,
外語,/,noun,1848,"to translate foreign words into Chinese, 翻外語爲華言","Medhurst, _English and Chinese Dictionary_ ii, s.v. Translate",
維新,(with Meiji overtone),verb,1872,聞貴國近來政令維新、日臻强富,『中西聞見錄』5「日本近事 欽使至英國」25,
偉大(1),/,adjective,1897,俄國擬開鑿一大支河.以接續波羅的海、及黑海.此實爲宏壯偉大之舉.,『時務報』xlvii「俄國壯圖」25,by Japanese translator
文明(2),/,noun,1837,其創國立󰭞、貽後世以福祉、化󺛧文明之治以留其敎澤。,『東西洋考每月統記傳』丁酉十一月「法蘭西國志畧」148+,
文學,belles lettres,noun,1890,是時希􁗫名人相󰟴和馬海修達之餘風著作歌詞稱爲詩史實開泰西文學之源,王韜『西學原始考』6+ (叢270/1052),postdating
文藝,literature and art,noun,1905,盖凡屬文藝之物。若詩畫建築音樂等。莫不賴作者有一種所得於天之才,『新民叢報』70「維朗氏詩學論」45+,postdating: Hsien-han's definition is so broad as to be useless.
武術(2),(as cultural heritage),noun,1908,昔年各武術將來必漸失傳殊非保存國粹之道,『新聞報』4月19日「鄂省創辦保存武術隊」,
物價指數,/,NP,1911,而新外債一億萬圓⋯亦於三十二年十一月收畢。彼此相因。而物價指數之大。遂爲從前所未有。,『比較財政學下卷』552,original by Kobayashi Ushisaburō (1905)
