Lemma,Sense,Word Class,Year,Quotation,Source,Note
西北(2),north-western provinces,noun,1902 (1897),嚮嘗竊竊過計。謂吾西北腹地諸省。風氣閡隔。人才乏絕。󶴛不足以自立。,『飮冰室文集·丁酉集下·復劉古愚山長書」34,
西學東漸,/,idiom,1903,歐亞大通西學東漸,「泰西學案序」,from Japanese: 1882 (NDL)
喜喪,/,noun,1718,"䘮禮易而不戚<span class=""warichu"">年高者且呼為喜䘮</span>古制全亡",『錢塘縣志·卷之七風俗』7 (地240.15/32),
,/,/,1837 (a1834),杭人以福壽備而死者俗呼喜喪,梁紹壬『兩般秋雨盦隨筆·卷八』2 (79@20@1),
細胞,/,noun,1858,󺴌物全體中有無數細胞體⋯此細胞、一胞爲一體、相比附而成󺴌物全體,『󺴌物學·卷二』1+ (イ13 00871),
峽谷,/,noun,1902,峽谷如壁地勢隆起,『申報』7月15日「詳紀張家口鐵路里程」+,
顯微鏡(2),/,noun,a1680,顯微鏡 大似金錢。下有三足。以極微極細之物。󰤿于二足之中。從上視之。則變爲極宏極鉅。,『十二樓·夏宜樓·第二囘』15,Not in 1st edn.
,/,/,c1681,顯微鏡 鏡用俯視.以極微細之物.󰤿三足之中.,『鏡史』11 (748514),
現代,/,noun,1875,"recent ages 昭代, 現代.",鄺其照『字典集成』s.v. Recent,also in Japanese: 1894 (CHJ)
現代化,/,verb,1921,使希臘神話爲現代󵔻，而於夫婦關係，以彼一流底道德觀，不能不認爲幾分底創意,『晨報』8月18日「現代美國底劇壇」,
,(with -的),adjective,1927,目的在本創造精神、開闢經驗、求實驗「現代󵔻的敎育」,『大公報』7月18日「南開中學之新敎育籌備會」,The 'completed' semantics signal conversion to adjective.
,/,/,1935,受了高度的現代󵔽敎育的市民層的男子們是需要能夠「讀寫算數」的現代󵔽婦女來󷨲合他們的生活,『申報』9月29日「婦女問題講座 第三節 敎育問題」,
憲法,/,noun,1633,⋯一國之上自公卿、下迨士庻、其遵憲法而罔敢違者、無論貴與賤也,『口鐸日抄·卷四』15 (Chinois 7114),
想像,imagination,noun,1868,"Imagination … conception, image in the mind, 想像 … 想頭 … 意思","Lobscheid『英華字典』iii, s.v.",This is sense 2 in Webster.
橡皮(2),/,noun,1910,測量所需之器具⋯畫圖紙鉛筆橡皮圖釘⋯,『申報』4月29日「江蘇諮議局開會事件」,
橡皮擦,/,noun,1911,"初小一期生三十八名獎給三名陳開第<span class=""warichu"">󿢞筆三枝橡皮擦一個</span>劉大傳⋯",『貴州敎育官報』1「報吿」1r+,
消費(1),/,intransitive verb,1900,詳論列國間之需要供給生產消費之程度及其輸運之方法,『江南商務報』3「商工地理學」2+,The real innovation of the modern 消費 is in the transitivity.
,/,/,1902,然生產雖增而󹲴費之數不足與之相抵則供給過于需要,『新民叢報』11「論世界經濟競爭之大勢」55,
小腦,/,noun,c1634,皮之知􁮻。因有細筋。從大小二󹱜生來四大枝。,『泰西人身說㮣·卷下·四体􁮻司』19v (Chinois 5130),
小時,/,noun,1631,法以前推得一日。或二十四小時。行五十九分〇八秒二十微。,Rho『崇禎曆書·日󱄊曆指』26bis (Oxon. Sinica 897),
效率(1),/,noun,1903,/,/,The physics textbook cited by Sun (2023) as from 1901 has a preface dated 1903.
效率(2),/,noun,1915,"盡之之道唯何,曰必自增進人事效率始.",『科學』1/11「人事之效率」1209+,
協議離婚,/,VP,1907,若協議離婚時。或妻死時。求返還其前日之贈物者槪無之。,『漢譯民法講義』105,
心理,/,noun,1872,雖彼之󵔻學天文格物心理各學亦皆有所以懲教道之假訛焉,『申報』11月28日「附論西教興廢來書」,
心態,/,noun,1919,高低無定。心態屢遷。,『祈禱發𢕄總論』61,
新聞自由,/,NP,1907,一千八百二十二年⋯停止聯合國會。束縛新聞自由。勵行警察權。,蔣羲明譯『歐洲列强近世外交􀼊史』49,from Japanese: 新聞の自由 (Shindō 1907)
星期(2),/,noun,1898,"凡入會之友⋯每一星期、􁒋會一次、<span class=""warichu"">會友多習西文者故必用星期即禮拜日也</span>",『知新報』xlv「京師關西學會緣起」,"This is really 星期(1), as the warichu shows. But it's what gave rise to 星期(2) in the next quote."
,/,/,1899,/,/,
星期-(3),/,nominal bound stem,1902,凡星期三及星期六下午亦係停課,『申報』10月13日「京報全錄」,
猩猩,orangutan,noun,1892,狌狌俗名猩猩亦名林中野人⋯與人相仿具有􁊒明,『格致彙編』第七年秋「獸有百種論」13,
形而上學(2),/,noun,1903,記述的心理學⋯其所以冠以記述的之三字者特欲別於遡作用之根源以論心之本體之形而上學,『大公報』2月28日「京師大學堂講義」,
形容詞,/,noun,c1836 (a1771),逍遙⋯按此非必指谷名蓋與詆訐皆形容詞耳,姚範『援鶉堂筆記·卷四十一·南山詩』3 (重刻),cf. 雖有詆訐之人
-性(2),/,nominal suffix,a1704 (c1664),中通曰。水流下而趨中。有剛火性也。火炎上而旋升。有􀓉水性也,方以智『物理小識·卷之一天類·水火本一』23 (2674),first occurrence in three-morpheme words
-學會,/,nominal bound stem,1878,近悉格致學會士林畢集商議他學,『萬國公報』510「格致學會集議」132,
-學學會,/,nominal bound stem,1907,竊欲聯合羣英。組織一󵔻學學會。求吾國󵔻學之進步。,『時報』10月3日「擬組織中國化學學會啓」,
學理,/,noun,1903,解釋之意義由學者一己之私見者。謂之無權的解釋亦謂之學理解釋,『新爾雅·釋法』27,
學術雜誌,/,NP,1915,本雜誌爲西洋留學界唯一之學術雜誌,『申報』1月21日「『科學』第一期出版預告」,
,/,/,2018 (2017),我先后撰写了多篇考辨文章，投递到相关学术杂志或提交学术年会,劉傳鴻『中古漢語詞綴考辨·後記』434,
