Lemma,Sense,Word Class,Year,Quotation,Source,Note
眼看,/,adverb,c1681 (a1661),米價日騰一日眼看又是荒年,『醒世姻緣傳·第九十三囘』12 (xlvi),
眼看着,/,preposition,1851 (a1830),眼看着蠹等放開手膽脧我脂膏,劉衡『庸吏庸言·革除蠹弊稟』17 (TT 4349),
堰塞湖,/,NP,1903,大別之則分凹地湖堰塞湖二種,『中學地文教科書』86,
陽極,/,noun,1866,Anode … 電氣之陽極,"Lobscheid, _English and Chinese Dictionary_, i, s.v.",
,/,/,1868,陽氣􁒋於陽極、陰氣􁒋於陰極、欲令隔斷不通、則電氣不能放出矣,Martin『格物入門·卷四·電學上章』5 (科10 9956),
野蠻(3),/,adjective,1865 (1864),後󵔻導漸開、此等野蠻不義之例、漸廢、至今殆絶矣,Martin『萬國公法·卷二』21 (04013),
意識,(contrasted with words),noun,1824 (1335),然後知韋侯佳句非言語意識所可到也,『蘇州府志·開元寺綠陰堂記』36 (地220.175/136),
,(as subject),/,c1812 (1798),有念所專注凝神生象是爲意識所造之夢孔子夢周公是也,『閱微草堂筆記·灤陽續錄三』18 (06083),
,(with 有-),/,1902,/,/,
,(with modifier),/,1902,/,/,
藝術,/,noun,1902,俄國學者特兒斯特之論藝術也。分廣義與狹義。而小說與詩歌美術等。同在狹義之中。,『游學譯編』i『遊學譯編敍」18,postdating
義務,/,noun,1880 (1874),茲聞清國以生番為屬地。言論不置。然此義務。旣誓我民。爰發我師。為天下所共知。,『籌辦夷務始末·卷九十六·日本柳原前光來函』43,
意譯(1),/,verb,1881,梵字上所附漢字直譯⋯如其意譯，譯家兩巨擘鳩摩羅什、玄奘，已擅其美，今復何言。,"!Nanjio Bunyiu, litt. ad Yang Wen-hui, 479",
抑鬱症,(without 精神-),noun,1930,蓋女子患抑鬱症者甚多。苟不得解其鬱。徒賴藥石。必無益也。,『世界醫報』6月26日「女子衞生之要點」,
陰極,/,noun,1866,"Cathode … the negative pole, 陰極","Lobscheid, _English and Chinese Dictionary_, i, s.v.",
,/,/,1868,陽氣􁒋於陽極、陰氣􁒋於陰極、欲令隔斷不通、則電氣不能放出矣,Martin『格物入門·卷四·電學上章』5 (科10 9956),
音節,/,noun,1912,複音語之民。每創一新語。必本舊有之語音。而更增加其音􁄠。表示意思之區別。,『申報』4月24日「顧實呈敎育部書」,
音素,/,noun,1912,將所有國音均析爲至單至純之音素核定所有音素􁊒數,『愛國報』12月6日「敎育部部令 讀音統一會章程」+,
硬傷,(metaphorical),noun,1928,袁世凱等，不過是個硬傷，忍痛用一次手術，還割得下來；若引用了那些下作小官僚，像微菌進血管，眞成不治之症了。,『民國日報』10月10日「祝政治建設的開始」,The literal sense dates back at least to s.xix med.
,glaring error,noun,1948,單就我們所說的「硬傷」而論，在這號稱「修訂本」、「標準本」當中就還多得難以計數。,鄧恭三「揭發『國定錯誤』廢除『國定課本』」in『大公報』10月3日,Note the quotes; [stylistics](https://t18d.github.io/HuangSupplement/style/#:~:text=硬傷)
優秀,/,adjective,1928 (1901),各部聘用外國人之俊異優秀者爲顧問官教師以備諮訪,『張文襄公奏議·卷五十五·俄約要盟貽󶫦請將東三省開門通商摺」9,
輿論,public opinion,noun,1892,輿論沸騰 public opinion is in a very disturbed state.,"Giles, _A Chinese–English Dictionary_, ii, 1327",First time as translation of _public opinion_.
輿論監督,/,idiom,1909,然既爲皇室親貴⋯似不宜身當政局立於輿論監督之地位,『大公報』12月18日「現政府與責任內閣」,
語文學,/,noun,1905,「語文學·文字統一之難」⋯「電學⋯」,『學報彙編·科學叢錄一·雜誌類七集』9,
原子,/,noun,1902,原質之愛力。自󵔻合體分子中之各原子。被其他諸原子同時牽引而成,『普通學報』5「原子連繫說」47+,
原罪,/,noun,c1636,特吾主。及聖母。無染原罪。,Dias『聖經直解·雜事目錄』51 (Jap. Sin. I-70),
運營(2),run (a country),verb,1907,而以政治哲學之眼孔觀之非謂其非國家之一機關亦非謂其非國家運營之一組織,『中國新報』1/3「中國今世最宜之政體論」13+,
,run (business),/,1916,然一商號一公司當新舊乘除之際事實上儘可停止其本機關所運營之業務以待根本上之解决,『順天時報』11月26日「上大􁊒統確定根本辦法書」,
