Lemma,Sense,Word Class,Year,Quotation,Source,Note
在⋯之下,(metaphorically),adposition,1902,法國之立憲議會。當在過激之加科賓黨主持之下。常爲違憲之擧動。,『譯書彙編』2/2「歐洲財政史」44,translating の下に
債權,/,noun,1899,借予人者名曰債權.如中國管事𫮛款之事,『湖北商務部』3「日本商律」5+,
債務,debt,noun,1880,英國於西歴一千八百七十九年三月三十一日結算債務總計共欠⋯,『申報』3月25日「英國債務」,
章程,by-laws,noun,1892,章程 by-laws; rules; regulations.,"Giles, _A Chinese–English Dictionary_, i, 67+",First time as translation of _by-laws_.
沼氣,/,noun,1903,攪池底之泥而起泡。所起之泡。即名沼氣,『初等理化博物敎科書』113+,
蔗糖,/,noun,1874,說畢卽將瓶中葡萄酒倒入玻璃盞又加蔗糖少許,"『瀛寰瑣記』20, 7",
偵查,/,verb,a1639,經督撫院及各路撫󺪭逐一偵查則存亡逃叛終難掩蔽,『三朝遼事實錄·卷五』16 (02041),
政府,/,noun,1877,苟有人民結社擔當欲請政府保護以營其業者則政府固當無不許矣,『萬國公報』431「論工業製􂀇之利」20+,
證券,securities,noun,1915,七該區劃內關於證券交易之沿革及現况,『神州日報』6月2日「證券交易所法施行細則」,A case can be made that the word first came into being when 有價證券 got abbreviated to 證券 in 證券交易所 in 1914.
政體,/,noun,1834,南亞墨利加󱠚國已良乆󾰾逐西班呀國官員、自操其權、惟政體未尚定着。,『東西洋考每月統記傳』甲午年二月「新聞之撮要」27,
支氣管炎,/,noun,1921,據日本衞生局調查。冬季之死亡。以患急性慢性支氣管炎。及其他之呼吸器病。腦溢血者爲多。,『衞生學通論』65,
知識份子,/,noun,1916,中國的知識份子一向自視爲與衆不同的特殊階級⋯鄙視從事生產，從事勞動的農工,『新青年』1/5「論知識青年從軍運動」20+,
殖民,/,verb,1886,北方瘦瘠之區⋯務須拓土󺀶民庶臻美善,『申報』3月18日「蛉洲新語」,
直譯(1),/,verb,1881,茲將稿本寄上，梵字上所附漢字直譯⋯唯譯一二梵語而已,"!Nanjio Bunyiu, litt. ad Yang Wen-hui, 479+",
指出(1),/,verb,a1279 (a681),解􀝶方中條例極多若不指出一二學者不可卒知餘方例爾,『備急千金要方·卷二十四』5 (馮1483),"Note the paucal determinative, which is just one step away from an abstract object."
指出(2),(+ indirect speech),/,1473 (a1200),所謂天命之謂性者是就人身中󹎱出這箇是天命之性不雜氣󹮴者而言,『朱子語類·卷第九十五』14 (03459),
指數(2),/,noun,1911,而新外債一億萬圓⋯亦於三十二年十一月收畢。彼此相因。而物價指數之大。遂爲從前所未有。,『比較財政學下卷』552,original by Kobayashi Ushisaburō (1905)
紙張,/,noun,a1321,即𫝆遵守契本必用𥿄張顔料之物,『元典章·户部卷八』271 (014275–314),
致哀,/,verb,c1531 (488),公事畢即往致哀,沈約『宋書·何尚之傳』(07347),
