K'ai,Ts'ao,Hsing,Print,Note
愛,/,爱 Sui,爱 Ming,
罷,/,/,罢 Ch'ing,
擺,/,/,摆 Ch'ing,
幫 Sung,/,/,帮 Ch'ing,幫 attested in 廣韻
綁 Ming,/,/,绑 Ming,綁 attested in 字彙
報,/,报 T'ang,报 Sung,
貝,/,/,/,贝 in Huang Hsiang & imitators & once in Ch'ing print
備 俻,/,/,备 Ch'ing,
筆 笔,/,/,笔 Yüan,笔 also in 集韻 as variant
邊,/,/,边 Yüan,
標,标 T'ang,/,/,
別 别,/,/,/,别 is stylistic variant
并 並 竝,/,/,/,"竝 is archaism; in most Tunhuang sources, 并 is Prep & 並 V/Adv"
補,/,/,/,
布,/,佈 Ming,/,佈 already in 廣韻
采 採,/,/,/,
產,/,/,/,
長,长 Han,/,长 Yüan,
廠 Sung,/,/,/,attested in 廣韻
抄,/,/,鈔 Ming,"鈔 already in 廣韻 as variant; cf. Tseng–Ch'en (2018), 6"
車,车 Han,/,/,
塵,/,/,/,尘 in 字彙補; not found at Tunhuang
單,/,/,单 Yüan,
彈,/,/,/,cf. 彈 (t'an)
逓,/,/,/,遞 in 廣韻 is archaism; 递 in 宋本玉篇
點,/,点 Ming,/,
墊,/,/,垫 Ch'ing,
電,/,/,/,
東,东 Han,/,东 Ch'ing,
動,/,/,/,
鍍 Sung,/,/,/,attested in 廣韻
發,发 Chin,/,/,
髮,/,/,/,
飯,/,/,/,飰 Sung print
費,费 Han,/,费 Ch'ing,
廢,废 T'ang,/,/,
風,/,/,/,cf. 鳳
鳳,/,/,风 Ming 凤 Ch'ing,风 commonly confused with 風
杆,/,/,/,桿 in 元刋四聲篇海
構 搆,/,/,/,
廣,/,/,/,広 1891 kanji
國,/,/,国 Ch'ing,国 1133 kanji; 囯 Sung print
過,/,/,过 Yüan,
後,/,后 Chin,后 Yüan,
畫,/,画 Ming,画 Ch'ing,畵 > 画 is late archaism
迴 廻 回,/,/,/,
會,会 Han,/,会 Ming,
即,/,/,/,卽 in 廣韻 is archaism
極,/,/,/,
記,记 Han,/,记 Ch'ing,
迹 跡 蹟,/,/,/,
夹 夾,/,/,/,夾 is later archaism
艱,/,/,艰 Ming,
減 减,/,/,/,
檢,检 Wu,/,/,
脚 腳,/,/,/,腳 in 說文 & rare
徑,/,/,/,
據,/,/,据 Ch'ing,
雋,/,隽 Chin,/,從人 in MSS
覺,觉 T'ang,/,觉 Ch'ing,
軍,/,/,/,
刊 刋,/,/,/,刋 is stylistic variant
克 剋,/,/,/,
况 況,/,/,/,況 is archaism
礦 鑛,/,/,/,鉱 1889 kanji
来 來,/,/,/,來 is later archaism
樂,乐 Han,/,乐 Ch'ing,
龍,/,/,/,
論,/,/,/,
馬,马 Wu,/,马 Yüan,Unicode 马 has wrong stroke order
脉 脈,/,/,/,'脈脉 上說文下經典相承' (五經文字)
賣,/,/,/,
貿,贸 T'ang,/,/,cf. 貝
難,/,/,难 Ming,
惱 Sung,/,/,恼 Ch'ing,惱 attested in 廣韻
腦 Sung,/,/,脑 Ch'ing,腦 attested in 廣韻
農,/,/,/,
濃,/,/,/,
聶,/,/,/,cf. 攝 躡
躡,/,/,蹑 Ming,
砲 Sung,/,/,炮 Ch'ing,
評,/,评 Ming,/,
齊,/,齐 T'ang,齐 Ming,
騎,/,/,骑 Yüan,
氣 气,/,/,/,气 in 說文 & rare
棄 弃,/,/,/,
鉛,/,/,/,
牽,/,/,/,
潛 潜,/,/,潜 Ming,
鉗,/,/,/,
槍,/,/,/,
牆 墻,/,墙 Sung,墙 Sung,
權,/,/,权 Ming,
羣 群,/,/,/,
繞 遶,/,绕 Ming,/,
熱,/,热 Ming,热 Yüan,
殺,/,/,杀 Yüan,'杀古殺字' (五經文字)
攝,/,/,摄 Ming,
壽,/,/,寿 Yüan,寿 Sung hsing?
書,/,/,书 Ch'ing,
樹,/,/,/,
訴,/,诉 Sung,诉 Ch'ing,
雖,/,/,虽 Yüan,
孫,孙 Han,/,孙 Ming,
臺,/,/,台 Yüan,
態,/,/,/,
彈,/,/,弹 Ming,
體,/,/,体 Yüan,体 also in 字鑑
鐵,/,/,/,鉄 Yüan print & kanji
万 萬,/,/,/,
為 爲,为 Han,/,为 Yüan,爲 is later archaism
韋,/,/,/,cf. 違
違,违 Chin,/,违 Ch'ing,
無 无,/,/,/,
襲,/,/,/,
峡 峽,/,/,/,cf. 夹
險,/,险 T'ang,/,
寫,/,/,/,
許,/,许 Chin,/,
續,/,/,/,
學,学 Wu,/,/,
儀,/,/,仪 Yüan,
義,/,/,义 Yüan,
應,应 T'ang,/,应 Ch'ing,応 1753 kanji; Wang Hsi-chih's 应 in Li is fake
營,/,/,营 Yüan,
涌,/,/,/,湧 attested in 集韻
踊 踴,/,/,/,踴 attested in 集韻
語,/,语 Chin,语 Ch'ing,
云 雲,/,/,/,
張,张 Han,/,/,
鄭,/,郑 T'ang,郑 Ch'ing,
證,/,证 Ch'in,证 Ch'ing,
誌 Sung,/,/,/,
製,/,/,制 Ming,
質,/,/,质 Ch'ing,
種,/,/,/,
衆,/,众 Ming,众 Ch'ing,众 already in 龍龕手鏡人部 (玉篇 has a different glyph); 眾 is archaism
豬 猪,/,/,猪 Ming,
莊,庄 T'ang,/,庄 Ming,
