Lemma,Sense,Word Class,Year,Quotation,Source,Note
病毒,/,noun,1908,疮疹之毒水、传染病毒、病毒、脓浆毒（痘毒、痘浆）,『英华大辞典』s.v. 'virus',postdating
草原,/,noun,1913,,『新体中国地理』?,牛振(2023)
赤字,/,noun,1931,日本歳入預定過大 赤字問題引起各方非難,『大公報』天津版1931年4月4日4版,
打胎,/,deverbal noun,1887,Ergotætia abortifaciens 打胎耳臥達以希阿,Fryer『西藥大成藥品中西名目表』22,
大气圈,/,noun,1903,,?,牛振(2023)
地球仪,/,noun,1886,,Edkins（艾约瑟）译『地理质学启蒙』,
地下水,/,noun,1903,,?,牛振(2023)
電鍍,/,noun,1885,Electro-planting 電鍍銀,Fryer『化學材料中西名目表』13,
發動,/,verb,1889,Driving coupling 發動 接盤,Fryer『汽機中西名目表』17,
反応,2,noun,1902,吾入之意識、不外対於內部之剌戟之反応。,『新民叢報』「訳述三·人格論」,
反応,4,noun,1913,反応 感情や行動の問題における態度,"Mateer, _New Terms for New Ideas_",
分析,_Chemistry_,verb,1883,化分者、将各雑質分析而得原質。化合者、将各原質合併而成雑質。,Fryer（傅蘭雅）『化学考質』巻一+,
分析,analysis,noun,1908,analysis 還原、返素、分析、剖解、推解,『英華大辞典』,as free morpheme
分析,analyse,verb,1911,analyse、analysis 分析、推解、分解,『徳英華文科学字典』,
咖喱,/,noun,1874,整啲咖喱魚,Dennys『初学階』,
功率,/,noun,1889,Duty of engine 汽機功率,Fryer『汽機中西名目表』17,
果汁,/,nominal bound root,1887,Colocynth pulp 𠹭囉噺果汁,Fryer『西藥大成藥品中西名目表』17+,
海拔,/,noun,1904,,『中等地文学教科书』?,牛振(2023)
海洋性气候,/,noun,1931,,王益崖『地理学』?,牛振(2023)
焊錫,/,noun,1889,Solder 銲錫,Fryer『汽機中西名目表』47,
花梗,/,noun,1887,Myrospermum pedicellatum 小花梗米羅司卑麻,Fryer『西藥大成藥品中西名目表』41,
环礁,/,noun,1903,,?,牛振(2023)
減速,/,verb,1889,Ease 減速,Fryer『汽機中西名目表』17,
硫酸,/,noun,1883,Sulphuric acid 硫酸,Fryer『金石中西名目表』32,
摩擦,1,verb,1851,琥珀用燥羊毛摩擦一辺、此摩擦処便能拾芥、就是電気発出、似磁石噏鉄一般。,Macgowan（瑪高温）訳『博物通書』第一章,
泥土,/,noun,1887,Terra japonica 日本泥土,Fryer『西藥大成藥品中西名目表』61,as opposed to nominal phrase
山脉,/,noun,1904,,『中等地文学教科书』?,牛振(2023)
石墨,/,noun,1883,Plumbago, or Graphite 石墨,Fryer『金石中西名目表』26,
石蕊,/,noun,1885,Litmus 石蕋,Fryer『化學材料中西名目表』21,
峡谷,/,noun,1920,,?,牛振(2023)
-性,2,nominal suffix,1664,中通曰、水流下而趨中、有剛火性也、火炎上而旋昇、有柔水性也。,方以智『物理小識』,first occurrence in three-morpheme words
堰塞湖,/,noun,1903,,?,牛振(2023)
钟乳石,/,noun,1917,,『新制地理概论教本』?,牛振(2023)
